Unnamed: 0,�����Ҹ�,station_name,station_id,station_num,WGS84lat,WGS84lon,lat,lon,value,x,y,nodes,passenger_count,normalized_passenger_count,adjusted_passenger_count,pheromone
0,가인만당앞,Gainmandang,239000605,44204,37.5978167,127.49735,37.5978167,127.49735,4,85,12,"(85, 12)",163,0.01147402506,5.172110376,5.172110376
1,가일1리,Gail 1-ri,239000514,44339,37.6073833,127.4921333,37.6073833,127.4921333,4,80,22,"(80, 22)",52,0.003660425172,5.054906378,5.054906378
2,가일리,Gail-ri,239000655,44404,37.6047667,127.4930833,37.6047667,127.4930833,4,81,19,"(81, 19)",78,0.005490637759,5.082359566,5.082359566
3,가일리삼거리,Gail-ri Samgeori,239000603,44189,37.6006167,127.4930667,37.6006167,127.4930667,4,81,15,"(81, 15)",163,0.01147402506,5.172110376,5.172110376
4,청심평화월드센터,Church,239000757,44680,37.6858667,127.5208333,37.6858667,127.5208333,4,109,100,"(109, 100)",689,0.04850063354,5.727509503,5.727509503
5,구정마을,Gujeong Maeul,239000415,44298,37.6315167,127.5093,37.6315167,127.5093,4,97,46,"(97, 46)",9,0.000633535126,5.009503027,5.009503027
6,가래골,Niagara,239000694,44717,37.7111167,127.4445667,37.7111167,127.4445667,4,32,125,"(32, 125)",10,0.0007039279178,5.010558919,5.010558919
7,널미재,Neolmijae,239000417,44507,37.66205,127.5428333,37.66205,127.5428333,4,131,76,"(131, 76)",3,0.0002111783753,5.003167676,5.003167676
8,능골,Neunggol,239000833,44805,37.6974,127.45935,37.6974,127.45935,4,47,112,"(47, 112)",58,0.004082781923,5.061241729,5.061241729
9,다리앞,Bridge,239000355,44327,37.651,127.4944833,37.651,127.4944833,4,82,65,"(82, 65)",39,0.002745318879,5.041179783,5.041179783
10,대리종점,Daeri Bus Terminal,239000425,44291,37.5955667,127.5095833,37.5955667,127.5095833,4,97,10,"(97, 10)",5,0.0003519639589,5.005279459,5.005279459
11,동면마을,Dong-myeon,239000403,44306,37.6223333,127.5155333,37.6223333,127.5155333,4,103,36,"(103, 36)",34,0.00239335492,5.035900324,5.035900324
